model,seed,alignment_loss,epoch,eval_acc,pred_cov_top1_eig,pred_effective_rank,target_cov_top1_eig,target_effective_rank,total_loss,train_alignment_loss,train_total_loss,variance_ratio
VQA-JEPA-Deep,42,0.1646749225920086,1.0,0.5854751237915586,0.0468270480632782,31.92594337463379,0.04613020271062851,168.42669677734375,0.1646749225920086,0.21113287222267377,0.21113287222267377,0.452141135931015
VQA-JEPA-Deep,42,0.14223312014005454,2.0,0.6498467342607875,0.04627247154712677,45.07509231567383,0.04613020271062851,168.42669677734375,0.14223312014005454,0.15230148628590598,0.15230148628590598,0.5036165118217468
VQA-JEPA-Deep,42,0.1312627265002755,3.0,0.669653383635935,0.047487348318099976,55.14359664916992,0.04613020271062851,168.42669677734375,0.1312627265002755,0.1316697006047231,0.1316697006047231,0.5739383101463318
VQA-JEPA-Deep,42,0.12571911163499855,4.0,0.6925253477953313,0.04910115897655487,65.20210266113281,0.04613020271062851,168.42669677734375,0.12571911163499855,0.11942783081688897,0.11942783081688897,0.6551627516746521
VQA-JEPA-Deep,42,0.12208608217648081,5.0,0.7175194529592077,0.04978781193494797,70.38570404052734,0.04613020271062851,168.42669677734375,0.12208608217648081,0.11072962584406366,0.11072962584406366,0.6624342203140259
VQA-JEPA-Deep,42,0.12042216084189529,6.0,0.7311954727658571,0.04780776798725128,75.58333587646484,0.04613020271062851,168.42669677734375,0.12042216084189529,0.10458989288823589,0.10458989288823589,0.67043137550354
VQA-JEPA-Deep,42,0.11911915019558612,7.0,0.7201131808535722,0.045349568128585815,81.533447265625,0.04613020271062851,168.42669677734375,0.11911915019558612,0.09844404358066104,0.09844404358066104,0.6763927936553955
VQA-JEPA-Deep,42,0.11622677505740128,8.0,0.7302522989860882,0.04685423523187637,82.57734680175781,0.04613020271062851,168.42669677734375,0.11622677505740128,0.09458168872601203,0.09458168872601203,0.677802324295044
VQA-JEPA-Deep,42,0.11740054778334837,9.0,0.7382692761141241,0.046796731650829315,87.1419906616211,0.04613020271062851,168.42669677734375,0.11740054778334837,0.09059689099236365,0.09059689099236365,0.720186173915863
VQA-JEPA-Deep,42,0.11593889114964095,10.0,0.7330818203253949,0.04977216571569443,85.08804321289062,0.04613020271062851,168.42669677734375,0.11593889114964095,0.08826766270250153,0.08826766270250153,0.7068703770637512
VQA-JEPA-Deep,42,0.11552186724895634,11.0,0.7366187219995284,0.048374421894550323,91.11853790283203,0.04613020271062851,168.42669677734375,0.11552186724895634,0.08537651385931067,0.08537651385931067,0.7348303198814392
VQA-JEPA-Deep,42,0.11569677399411232,12.0,0.7406272105635463,0.04652358591556549,92.78282165527344,0.04613020271062851,168.42669677734375,0.11569677399411232,0.08293297923381235,0.08293297923381235,0.718294620513916
VQA-JEPA-Deep,42,0.11581917244135505,13.0,0.7382692761141241,0.04597640782594681,95.03950500488281,0.04613020271062851,168.42669677734375,0.11581917244135505,0.08102763786563029,0.08102763786563029,0.7425819039344788
VQA-JEPA-Deep,42,0.11659673417100815,14.0,0.7448714925725065,0.04581289738416672,95.80482482910156,0.04613020271062851,168.42669677734375,0.11659673417100815,0.08026253893144772,0.08026253893144772,0.7376658320426941
VQA-JEPA-Deep,42,0.11661638716177343,15.0,0.7413345908983731,0.047598063945770264,96.83518981933594,0.04613020271062851,168.42669677734375,0.11661638716177343,0.07885383784246393,0.07885383784246393,0.7455353736877441
VQA-JEPA-Deep,42,0.11604237124987915,16.0,0.7408630040084886,0.049134641885757446,95.24488830566406,0.04613020271062851,168.42669677734375,0.11604237124987915,0.07695698037535144,0.07695698037535144,0.7481350898742676
VQA-JEPA-Deep,42,0.11746903524888458,17.0,0.7410987974534308,0.049550220370292664,95.91864776611328,0.04613020271062851,168.42669677734375,0.11746903524888458,0.07707260064540673,0.07707260064540673,0.758077085018158
VQA-JEPA-Deep,42,0.11693658822551423,18.0,0.7399198302287197,0.05034946650266647,97.42018127441406,0.04613020271062851,168.42669677734375,0.11693658822551423,0.07465214472666264,0.07465214472666264,0.765440046787262
VQA-JEPA-Deep,42,0.11697604199943888,19.0,0.7408630040084886,0.04447200894355774,103.3855209350586,0.04613020271062851,168.42669677734375,0.11697604199943888,0.07388843655815744,0.07388843655815744,0.7497345209121704
